episod,total_reward
1,-3.18627163529
2,-3.17150563672
3,-3.19585549985
4,-0.689646167987
5,-13.4490017517
6,-7.37851195063
7,-7.48788228535
8,-25.4962686047
9,-14.5773052833
10,-23.6596529131
11,-75.3229115336
12,-41.5434113847
13,-1.64788428581
14,-10.7875153456
15,-2.59175463783
16,-51.8659014934
17,-194.372257564
18,-189.749469124
19,-19.3760114323
20,-1.43120599416
21,-1.69919610769
22,-8.65889202935
23,-2.09598407685
24,-2.42158023178
25,-0.416078447681
26,-6.23823981257
27,-11.8626881098
28,-11.6772925816
29,-15.2989978841
30,-11.4241423984
31,-12.6646683356
32,-13.3737690254
33,-15.9536335589
34,-15.5616969362
35,-15.878126118
36,-10.0204943368
37,-15.2844755557
38,-161.730879212
39,-189.668209018
40,-133.968193696
41,-80.2102754129
42,-80.253159703
43,-189.741157436
44,-7.48365716976
45,-1.61901769718
46,-5.25170622861
47,-6.09783495492
48,-27.6618144226
49,-24.8764008517
50,-11.8725680666
51,-21.6140101921
52,-32.1004358994
53,-11.5217117344
54,-29.6098913628
55,-51.3496245702
56,-66.1456566024
57,-36.1620803438
58,-9.15205904301
59,-8.94483219561
60,-24.3512920535
61,-41.2082021594
62,-12.8360940006
63,-25.0001169537
64,-8.30499421375
65,-7.07926948662
66,-4.37524760457
67,-9.74814668278
68,-13.2657630495
69,-7.42348785758
70,12.6780592664
71,-24.7055389711
72,10.2523168645
73,7.73429815453
74,7.78564175495
75,8.35157626494
76,8.14413653424
77,11.866812504
78,7.89368700031
79,3.29321494058
80,2.08015020886
81,6.4408611749
82,6.38099831938
83,7.45885081686
84,7.83484807276
85,0.112688310479
86,-3.06561510674
87,12.6168280903
88,16.8610129127
89,12.6550689355
90,8.42329374621
91,16.0189225719
92,-10.5071266617
93,-12.9485498455
94,-15.73526214
95,-21.267592535
96,-30.7223919203
97,7.04407243027
98,-191.313537099
99,-28.6433439298
100,-39.6485289832
101,-17.9654233653
102,1.55732400357
103,-192.535960953
104,-174.076499953
105,-41.8738568826
106,-11.3833533481
107,-6.73870265614
108,-46.7261678111
109,-32.8433579134
110,7.25749590217
111,-29.8541531892
112,-71.0796082524
113,-189.846249439
114,-23.1140771777
115,13.7209655263
116,-16.8642897583
117,-39.8799967589
118,-11.7554144958
119,15.9744392862
120,-5.92939750655
121,-13.1406025689
122,-37.5543374636
123,-16.2769268041
124,-35.0005970556
125,-36.6340010037
126,-6.06107948745
127,-11.9308661364
128,15.4046519373
129,7.04781176445
130,4.59032639989
131,-6.8473671084
132,-1.89509983733
133,1.14430949102
134,4.08322523981
135,14.1426372945
136,5.68290658633
137,2.02011659873
138,2.2184156546
139,2.68616370095
140,-0.235069204632
141,2.21766745917
142,2.26951444334
143,0.463670714918
144,-2.05770248205
145,-5.63093627404
146,14.5769655644
147,2.37211524945
148,4.79015721554
149,-3.21410385936
150,0.517529636143
151,-8.15891089507
152,-1.31278250258
153,-12.675633763
154,-9.58187233572
155,1.69700594775
156,-6.23434163373
157,-20.3901436309
158,-27.913442913
159,-17.6127334943
160,-10.7424062199
161,-1.5065024761
162,-6.3314334789
163,-20.6738367158
164,-0.658527673521
165,-23.3854716319
166,-14.5586663226
167,-15.5893607333
168,-16.7541399781
169,-2.08123604038
170,-13.8607873826
171,-17.4477914956
172,-19.0137490278
173,-3.78195466897
174,-10.1224548612
175,2.81507227909
176,-12.0299817467
177,-18.180359476
178,-9.90879356511
179,-16.280778019
180,-1.07564896799
181,-14.4017688814
182,2.52686504218
183,-21.8740367528
184,-19.3629516232
185,-27.9151734461
186,2.9024912724
187,0.661738510886
188,-10.7220961847
189,-9.06472298673
190,-3.59103468065
191,2.1956884998
192,-10.9048126255
193,0.0534855347125
194,-23.157824185
195,-3.44814290511
196,-18.3217510336
197,-6.09228866405
198,-6.54814555456
199,1.52891913153
200,11.7506291532
201,11.8995159031
202,6.79766670414
203,9.64013958349
204,-5.1085252276
205,-2.2397681067
206,-1.80414398618
207,-6.38563514052
208,2.24968958501
209,5.70009436731
210,22.6734243308
211,5.55172767461
212,4.71197293183
213,6.94120251635
214,-3.95567575285
215,1.12524362099
216,12.1802153381
217,7.53655676331
218,-16.0723569081
219,7.87774277251
220,-11.2975631098
221,-21.5694688673
222,-25.1729555841
223,-30.4619765872
224,-23.214643051
225,-0.774167383482
226,-19.7551689525
227,-10.5152338452
228,-45.3875173573
229,14.8593007031
230,12.1355885077
231,-36.2685271774
232,-46.1028112339
233,-22.1347556329
234,-81.0822245462
235,-105.03710856
236,-125.389283905
237,-146.904810509
238,-107.849128088
239,-20.2893672299
240,-72.9535793761
241,-106.741451682
242,-121.282628322
243,-141.497540915
244,-109.535052757
245,-165.942458883
246,-122.272160676
247,-15.9851224465
248,-47.5772066894
249,-101.318221525
250,-107.136015278
251,-85.7943949361
252,-74.8409070861
253,-49.763380495
254,-30.0026094148
255,-19.7530110026
256,-31.6855307122
257,-2.3292317427
258,-23.2701872559
259,-32.4622394379
260,-13.0055112307
261,-18.2671604368
262,-33.5690008409
263,-15.3733505112
264,-22.5678139258
265,-15.317023707
266,-7.50490870908
267,-47.274854075
268,-10.2775218854
269,-9.5954584987
270,-4.73036591866
271,-1.28146789698
272,-7.09113395639
273,-3.80913811133
274,-1.70777192585
275,-24.4503578267
276,-15.7989255397
277,-20.3603721831
278,-19.3871653849
279,-22.1746629605
280,-21.6586632273
281,-22.1005920988
282,-15.2244024698
283,-9.9104363481
284,-9.4147274932
285,-10.260288511
286,-13.434862548
287,-19.7906427036
288,-8.21733086659
289,-9.05892389493
290,-8.96780523162
291,-8.10819132122
292,-6.42974558556
293,-9.68062319299
294,-13.5841535245
295,-13.7654970158
296,-11.3051619924
297,-11.8744318204
298,-14.8015322818
299,-6.75496584261
300,-6.16055177966
301,-3.77730944329
302,-4.7307049544
303,-0.179107499013
304,-2.17372125325
305,-1.64379684224
306,1.31214649283
307,-3.78554971424
308,-2.73434364583
309,0.825627371761
310,-3.50358212896
311,-2.79002229917
312,-0.713272650378
313,-0.680133006562
314,-2.97868917863
315,-34.2802817063
316,-5.65720336083
317,-1.04270821617
318,-7.03365619201
319,-30.7751324862
320,0.330085097512
321,0.034906534176
322,-24.6083028556
323,-20.7530839976
324,-12.1378272009
325,-2.25609579194
326,0.646574558389
327,-9.52381490153
328,-8.79173837528
329,-21.3032736674
330,-43.9922301472
331,-1.7338744667
332,-5.8023724913
333,6.34025263484
334,1.56253749341
335,3.23243946974
336,3.84912304055
337,11.5015731451
338,3.23149586367
339,2.47705069807
340,2.63168253755
341,6.00818805802
342,2.9739633555
343,-1.05806164909
344,-0.104541402994
345,-8.5313488823
346,-1.40793411428
347,-8.80720749979
348,-6.03574280858
349,1.13410402225
350,5.29264853887
351,4.04023819735
352,5.50919192655
353,4.83922146929
354,0.517921948334
355,4.35789602368
356,3.9452675744
357,3.32290161764
358,1.08366657993
359,0.885751615842
360,2.93771523909
361,5.23602183133
362,2.95969117124
